YEAR;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;ALLSKY_KT;ALLSKY_SFC_LW_DWN;CLRSKY_SFC_PAR_TOT;T2M;T2MDEW;T2MWET;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WD10M;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2004/01/01;3,52;3,54;0,71;281,67;64,41;8,84;2,71;5,78;4,64;67,88;0,11;100,44;5,93;290,75;5027,547484;3667,527211;2755,021358;912,5058368;6545,3105;3055,238411;1869,447547;1185,790884;4104,282753;0,5
2004/01/02;2,46;3,35;0,5;294,03;61,66;7,62;1,62;4,62;4,33;67,56;0,05;100,06;5,53;267,44;5043,342163;3666,921732;2712,163489;954,7582789;6435,666268;3088,672005;1957,286868;1131,385111;4309,088342;0,5
2004/01/03;3,35;3,53;0,67;278,79;64,3;8,2;1,22;4,71;4,21;64;0,04;99,76;6,01;292,25;5060,447879;3655,595021;2685,921053;969,6739947;6338,173916;3061,498242;1904,444389;1157,053863;4200,961995;0,5
2004/01/04;3,49;3,52;0,7;284,3;64,55;8,34;3,91;6,12;5;75,5;0;100,63;2,62;264,56;5078,858758;3664,952116;2654,691468;1010,260579;6240,402774;3157,9;2128,336189;1029,563816;4687,947284;0,5
2004/01/05;3,56;3,6;0,71;270,01;65,4;8,05;0,53;4,29;3,91;60,5;0;101,18;1,89;231,56;5098,552347;3668,510589;2666,464658;1002,045953;6269,505216;3270,666884;2230,222853;1040,444074;4869,727821;0,5
2004/01/06;3,62;3,67;0,72;262,9;66,36;6,91;-0,59;3,16;3,6;60,44;0;101,57;2,36;239;5119,574911;3726,607184;2748,849663;977,7575053;6445,613463;3156,095358;2011,434547;1144,660789;4424,955279;0,5
2004/01/07;3,62;3,71;0,72;262,05;66,13;5,56;-1,8;1,88;3,3;61,44;0;101,43;3,85;242,25;5141,886632;3680,196147;2598,113337;1082,082853;6026,7639;3137,655432;1975,022711;1162,632679;4246,4094;0,5
2004/01/08;3,45;3,68;0,68;272,21;64,95;7,26;-3,01;2,12;2,99;49,62;0;101,14;2,95;258,25;5165,460221;3603,159263;2432,853053;1170,306216;5609,815458;3030,203516;1779,150505;1251,053011;3829,851479;0,5
2004/01/09;3,46;3,51;0,68;281,98;64,2;7,75;0,77;4,26;4,03;63,06;0;101,27;3,33;266,38;5190,289905;3685,482653;2583,339368;1102,143253;5957,452847;3018,378974;1733,247195;1285,131789;3747,414579;0,5
2004/01/10;3,51;3,58;0,69;300,37;67,54;9,24;5,79;7,51;5,68;80;0;101,11;3,02;266,56;5216,369153;3774,294379;2756,245074;1018,049289;6362,269974;3064,089878;1832,656856;1231,433033;3926,811217;0,5
2004/01/11;3,66;3,69;0,71;302,73;69,59;11,63;6,76;9,19;6,04;74,12;0;101,37;2,06;215,31;5243,669495;3731,742253;2576,702942;1155,039311;5851,482626;3059,697429;1760,537976;1299,159429;3751,948012;0,5
2004/01/12;3,57;3,63;0,69;301,56;68,42;11,01;6,49;8,75;5,92;75,56;0;101,58;2,96;253,5;5272,222374;3756,803374;2625,563279;1131,240032;5972,250284;3135,820172;1974,472089;1161,3481;4233,668367;0,5
2004/01/13;3,67;3,72;0,7;287,78;67,75;10,56;6,69;8,62;6,04;78,25;0;101,24;4,2;241,38;5301,955774;3826,720468;2757,043753;1069,676679;6279,714626;3152,862221;1826,199763;1326,662437;3930,195321;0,5
2004/01/14;3,78;3,82;0,72;279,95;68,47;10,56;4,98;7,77;5,43;71,5;0;100,7;3,85;241,44;5332,869595;3824,539442;2722,968142;1101,571316;6142,431742;3063,877095;1737,504432;1326,372647;3614,414816;0,5
2004/01/15;3,71;3,71;0,7;287;68,36;9,75;4,83;7,29;5,43;73,19;0;100,56;3,91;154,94;5364,946911;3884,728947;2807,633695;1077,095268;6332,9964;3440,509932;2211,727211;1228,782716;4697,104663;0,5
2004/01/16;3,77;3,83;0,71;291,65;72;10,05;6,33;8,19;5,92;79;0,14;100,96;4,2;106,31;5398,168358;3948,579947;2914,822442;1033,757526;6550,066089;3448,321437;2208,030595;1240,290842;4658,341279;0,5
2004/01/17;3,66;3,8;0,69;290,43;70,75;9,91;4,16;7,04;5,07;70,69;0;100,84;2,23;158,19;5432,531016;3894,940337;2703,879732;1191,060589;5977,109653;3070,811068;1572,896447;1497,914637;3323,327163;0,5
2004/01/18;3,71;3,74;0,69;283,04;68,7;9,84;3,36;6,6;4,82;65,88;0;100,29;3,55;248,62;5468,021842;3863,515853;2648,115674;1215,400211;5858,827084;3062,373763;1601,999;1460,374742;3331,191863;0,5
2004/01/19;3,72;3,74;0,69;284,51;69,05;8,94;2,76;5,85;4,64;67,06;0,01;100,12;3,05;285,38;5504,582747;3867,514342;2604,342832;1263,171479;5698,638779;3067,257289;1695,061626;1372,1957;3437,030847;0,5
2004/01/20;2,6;3,51;0,48;319,63;65,44;10,1;6,64;8,37;6,16;80,19;2,99;99,95;7,55;58,56;5542,218326;3820,883189;2467,582395;1353,300789;5390,795463;2957,831826;1686,372879;1271,458947;3460,154542;0,5
2004/01/21;2,04;3,55;0,38;324,53;65,34;7,87;4,51;6,19;5,25;79,88;5,55;99,93;5,63;199;5580,926705;3983,939426;2793,358621;1190,580826;6112,321011;3354,518068;2052,341305;1302,176758;4177,426526;0,5
2004/01/22;2,94;3,89;0,53;312,11;71,84;8,73;3,78;6,26;4,94;73,69;0;100,78;3,86;286,75;5620,638847;4025,072879;2841,549811;1183,523011;6195,806342;3238,261716;1889,969626;1348,292111;3834,806389;0,5
2004/01/23;3,76;3,84;0,68;303,23;70,09;9,76;3,25;6,51;4,76;66,69;0;100,76;4,44;240,75;5661,393063;4013,350674;2740,044516;1273,306226;5897,047921;3444,336621;1968,288858;1476,047779;3928,967468;0,5
2004/01/24;3,84;3,99;0,69;304,78;73,51;10,83;3,06;6,94;4,7;59,94;0,01;100,44;4,88;203,81;5703,114453;4112,144647;2903,071174;1209,073547;6249,783874;3360,969753;1952,591974;1408,377837;3924,113253;0,5
2004/01/25;3,87;3,99;0,69;301,7;73,63;10,24;4,8;7,51;5,37;70,69;0;100,74;4,09;232,44;5745,815021;4117,474368;2846,904184;1270,570121;6090,376653;3486,388616;2005,256842;1481,131784;3973,476079;0,5
2004/01/26;3,78;3,83;0,66;299,36;71,2;10,63;4,5;7,56;5,25;68,62;0;100,51;4,3;232,69;5789,444184;4148,463037;2870,919616;1277,543347;6086,812989;3311,133584;1896,586363;1414,547237;3661,109226;0,5
2004/01/27;4,01;4,05;0,7;297,34;75,39;10,77;4,44;7,61;5,25;66,94;0;100,22;4,16;241,25;5834,004168;4214,194295;2967,727253;1246,467026;6263,026984;3710,532274;2316,450795;1394,081458;4534,241279;0,5
2004/01/28;3,66;3,72;0,63;316,95;69,58;12,62;7,26;9,94;6,35;71,94;0;100,03;5,37;273,81;5879,441289;4195,442;2866,030216;1329,411816;5996,878605;3485,368574;1969,223321;1516,145263;3906,032316;0,5
2004/01/29;4,28;4,4;0,73;268,45;78,54;8,73;-0,02;4,36;3,85;57,62;0;100,69;2,34;170,44;5925,7838;4294,809037;3072,3128;1222,496211;6437,385853;3857,074311;2550,5414;1306,532921;4958,828074;0,5
2004/01/30;3,98;4,35;0,68;276,99;78,6;8,3;-1,14;3,58;3,54;53,19;0;101,19;3,07;124,81;5972,945568;4251,558632;2925,160242;1326,398416;6071,880879;3514,555442;2000,674842;1513,880632;3978,442695;0,5
2004/01/31;4,13;4,28;0,7;279,87;76,61;8,17;2,18;5,18;4,39;68,88;0;101,83;4,27;76,5;6020,940795;4304,020489;2985,244379;1318,776189;6159,002621;3721,026295;2267,584274;1453,442042;4424,688926;0,5
2004/02/01;4,24;4,36;0,71;275,83;79,23;9,19;3,35;6,27;4,76;70,31;0;102,04;3,1;56,38;6046,0664;4393,4551;3027,3853;1366,0698;6225,7812;4306,0361;2941,8804;1364,1558;5817,4004;0,876
2004/02/02;4,4;4,5;0,73;272,12;81,26;9,37;0,21;4,79;3,78;56,38;0;102,16;1,62;92;6095,2739;4677,3818;3672,6555;1004,7264;7727,1265;4573,9531;3540,4929;1033,4602;7069,4121;0,9847
2004/02/03;4,31;4,42;0,71;292,42;81,16;9,99;0,4;5,19;3,85;52,31;0;102,2;1,73;219;6145,2285;4644,791;3552,2986;1092,4927;7387,8169;2777,7324;289,4876;2488,2446;604,6136;0,9788
2004/02/04;4,34;4,4;0,71;287,74;81,17;10,34;4,09;7,22;5,19;66,75;0;102,32;3,02;104,88;6195,9053;4532,5054;3216,5867;1315,9186;6559,4771;4303,2295;2930,1624;1373,0671;5592,4419;0,9833
